fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.21,0.03,0.6,0.062,37.0,101.0,0.9895,2.77,0.52,11.3,7
6.4,0.4,0.15,0.6,0.021,36.0,110.0,1.0012,3.23,0.44,8.4,6
8.8,0.32,0.17,6.4,0.039,37.0,206.0,0.9932,2.95,0.55,10.4,6
7.8,0.4,0.2,15.6,0.047,13.0,96.0,0.9957,3.18,0.26,8.0,6
7.4,0.29,0.24,8.0,0.072,26.0,201.0,0.9922,3.08,0.83,9.0,4
8.3,0.35,0.47,9.6,0.089,8.0,175.0,0.9915,3.51,0.51,11.1,6
6.8,0.54,0.49,4.3,0.051,35.0,104.0,0.9949,3.15,0.4,11.3,5
6.1,0.21,0.27,2.0,0.082,36.0,112.0,0.9959,3.49,0.41,10.8,5
6.5,0.12,0.28,6.1,0.059,54.0,50.0,1.0,3.06,0.36,12.8,6
7.3,0.1,0.23,6.7,0.054,36.0,78.0,0.9977,2.72,0.7,10.5,7
5.9,0.15,0.34,6.1,0.083,24.0,124.0,0.9955,3.34,0.61,10.9,6
6.5,0.46,0.34,15.8,0.01,23.0,93.0,0.9945,3.02,0.5,10.3,5
6.6,0.11,0.44,2.5,0.071,42.0,161.0,0.9957,3.4,0.51,11.9,6
10.1,0.26,0.45,0.6,0.032,19.0,148.0,0.9939,3.2,0.48,11.3,7
4.0,0.4,0.0,12.9,0.092,34.0,128.0,0.9955,3.32,0.24,11.0,7
7.0,0.4,0.3,0.9,0.033,47.0,149.0,0.9923,3.36,0.65,12.7,6
9.4,0.3,0.52,6.5,0.045,66.0,135.0,0.993,3.57,0.52,9.3,5
7.4,0.37,0.26,11.2,0.01,51.0,115.0,0.9945,3.39,0.62,11.5,6
8.2,0.35,0.49,2.0,0.069,21.0,72.0,0.9957,3.25,0.67,10.6,6
7.5,0.27,0.29,9.6,0.041,18.0,218.0,0.9943,3.36,0.7,8.8,7
6.4,0.3,0.35,2.2,0.037,42.0,151.0,0.9953,3.34,0.55,10.4,6
4.4,0.66,0.16,8.5,0.057,27.0,134.0,0.992,3.3,0.56,11.9,7
7.4,0.49,0.15,0.6,0.01,4.0,70.0,0.9911,3.54,0.69,10.2,5
6.3,0.7,0.44,5.8,0.032,77.0,251.0,0.9946,3.18,0.53,9.4,7
6.2,0.26,0.45,6.1,0.049,34.0,74.0,0.9896,3.24,0.73,10.5,6
6.8,0.26,0.35,3.7,0.107,54.0,117.0,0.9973,3.13,0.71,8.5,8
9.4,0.15,0.13,6.3,0.062,24.0,120.0,0.9906,3.66,0.44,11.2,5
10.5,0.18,0.34,13.9,0.07,31.0,39.0,0.9935,3.17,0.44,9.4,7
7.5,0.64,0.51,7.1,0.058,33.0,140.0,0.9962,3.28,0.36,11.4,6
6.5,0.28,0.57,17.6,0.175,25.0,134.0,0.9974,3.07,0.66,10.5,5
5.6,0.67,0.26,3.2,0.087,17.0,55.0,0.9966,3.15,0.22,8.0,5
7.8,0.14,0.07,4.1,0.01,69.0,157.0,0.9962,3.38,0.22,10.2,6
9.6,0.17,0.45,1.7,0.064,37.0,61.0,1.0024,3.2,0.59,10.2,6
6.9,0.28,0.28,22.9,0.094,3.0,97.0,0.9915,3.41,0.31,9.5,6
4.0,0.35,0.45,0.6,0.01,32.0,71.0,0.9956,3.35,0.36,11.2,5
8.1,0.48,0.36,2.4,0.06,5.0,150.0,0.9966,3.2,0.56,8.1,6
8.7,0.35,0.21,1.9,0.037,17.0,144.0,0.9958,3.08,0.32,9.7,8
5.3,0.24,0.34,2.6,0.026,33.0,52.0,0.9933,3.27,0.34,10.6,7
7.5,0.31,0.52,13.5,0.103,40.0,82.0,0.9963,3.27,0.77,12.6,6
7.8,0.28,0.3,2.5,0.033,1.0,83.0,0.9961,3.22,0.59,11.9,6
7.1,0.19,0.17,13.4,0.033,61.0,152.0,0.9984,3.27,0.67,10.0,6
6.2,0.19,0.08,3.0,0.024,19.0,75.0,0.9961,3.11,0.44,9.7,6
8.5,0.53,0.2,10.4,0.018,26.0,109.0,0.989,3.33,0.78,11.8,5
6.7,0.08,0.26,4.0,0.037,58.0,102.0,0.9971,3.29,0.22,11.6,6
5.1,0.65,0.42,2.0,0.035,60.0,97.0,0.9935,3.1,0.27,9.7,4
4.6,0.28,0.15,3.2,0.014,20.0,213.0,0.9941,3.14,0.27,11.6,6
8.9,0.21,0.55,3.0,0.055,49.0,77.0,0.9913,3.21,0.39,11.9,6
7.9,0.48,0.11,1.6,0.01,33.0,103.0,0.9951,3.15,0.7,9.6,5
7.5,0.54,0.68,1.8,0.06,78.0,136.0,1.0006,3.1,0.84,11.2,7
6.6,0.54,0.57,1.1,0.09,18.0,92.0,0.9979,3.39,0.54,8.2,5
6.5,0.44,0.33,2.2,0.037,59.0,82.0,0.9911,3.36,0.61,10.9,5
5.8,0.51,0.07,5.3,0.068,20.0,135.0,0.9941,3.32,0.22,10.8,6
6.8,0.08,0.32,2.6,0.047,12.0,160.0,0.9977,3.03,0.62,10.4,7
4.6,0.22,0.27,6.7,0.138,26.0,189.0,0.9942,3.52,0.44,9.6,7
6.2,0.22,0.12,23.4,0.09,1.0,105.0,0.9886,3.27,0.36,8.9,5
6.9,0.5,0.38,2.6,0.026,15.0,72.0,0.9931,3.2,0.48,12.5,7
8.0,0.27,0.2,3.4,0.101,25.0,72.0,0.9988,3.35,0.51,11.9,6
7.2,0.47,0.21,1.0,0.14,26.0,195.0,0.9992,3.2,0.72,13.7,6
8.4,0.39,0.3,2.7,0.048,47.0,134.0,0.9942,2.76,0.3,9.4,7
9.0,0.2,0.24,7.0,0.073,45.0,69.0,0.9939,3.26,0.38,10.8,6
8.4,0.3,0.61,1.3,0.091,29.0,77.0,0.9878,3.39,0.69,9.3,4
7.9,0.51,0.25,1.1,0.017,1.0,53.0,0.9944,3.28,0.35,9.4,7
7.4,0.18,0.4,2.5,0.01,1.0,111.0,0.993,2.92,0.26,11.3,7
5.9,0.38,0.33,9.2,0.062,21.0,143.0,0.989,3.36,0.87,12.2,5
8.2,0.21,0.37,5.3,0.027,16.0,203.0,0.9918,3.26,0.36,10.7,6
9.4,0.28,0.39,17.1,0.048,20.0,177.0,0.9908,3.27,0.51,11.3,6
7.7,0.33,0.45,12.7,0.092,59.0,118.0,0.9949,2.98,0.5,12.4,6
9.6,0.24,0.35,0.9,0.076,19.0,77.0,0.9994,3.13,0.73,9.8,5
5.2,0.21,0.35,0.6,0.076,15.0,142.0,0.9942,3.04,0.53,9.4,5
5.7,0.38,0.33,2.8,0.051,31.0,16.0,0.9955,3.36,0.58,12.1,6
8.4,0.17,0.31,4.0,0.033,22.0,71.0,1.0021,3.3,0.65,10.3,7
7.6,0.2,0.19,3.9,0.031,41.0,152.0,0.989,3.12,0.66,12.6,6
8.8,0.21,0.3,0.8,0.117,34.0,165.0,0.9953,3.1,0.66,10.6,5
7.2,0.32,0.36,0.7,0.135,63.0,190.0,0.9981,3.17,0.74,10.8,6
5.8,0.58,0.35,0.6,0.094,24.0,109.0,0.9956,3.27,0.4,10.5,3
7.1,0.55,0.36,10.3,0.046,65.0,189.0,0.9898,3.36,0.4,10.2,7
5.0,0.28,0.27,15.9,0.017,42.0,94.0,1.0005,3.07,0.44,9.5,4
5.8,0.68,0.31,0.7,0.151,40.0,90.0,0.9972,3.28,0.42,9.4,6
8.4,0.2,0.23,1.3,0.072,1.0,133.0,0.9955,3.16,0.64,9.1,5
8.3,0.54,0.36,0.6,0.071,1.0,180.0,0.9906,2.75,0.22,9.2,5
7.8,0.19,0.3,11.3,0.035,3.0,169.0,1.0016,3.13,0.74,11.4,7
4.9,0.23,0.34,17.2,0.08,34.0,174.0,0.9965,3.28,0.59,10.2,5
6.8,0.22,0.47,1.6,0.049,44.0,145.0,0.996,3.09,0.28,10.5,6
5.6,0.33,0.22,2.0,0.019,40.0,170.0,0.9965,3.28,0.54,9.4,6
8.8,0.43,0.41,2.4,0.044,31.0,117.0,0.9976,3.33,0.58,12.1,6
6.5,0.44,0.33,3.8,0.07,47.0,134.0,0.995,3.4,0.67,12.5,6
5.7,0.21,0.61,6.2,0.11,51.0,273.0,0.9943,3.05,0.51,10.1,5
7.4,0.15,0.3,3.8,0.01,26.0,165.0,0.988,3.41,0.54,10.9,7
6.3,0.22,0.42,16.3,0.013,40.0,117.0,0.9923,3.23,0.5,11.6,5
9.0,0.38,0.3,0.6,0.041,36.0,161.0,1.0006,2.97,0.68,11.5,4
6.2,0.33,0.1,8.7,0.023,44.0,56.0,0.9922,3.18,0.8,11.2,5
5.5,0.15,0.25,2.2,0.056,37.0,98.0,0.9938,3.17,0.59,12.0,7
4.5,0.35,0.46,2.6,0.039,36.0,104.0,0.9912,3.13,0.45,9.6,7
7.2,0.7,0.26,6.7,0.06,20.0,75.0,0.9962,3.02,0.59,9.7,6
6.5,0.25,0.0,14.3,0.062,34.0,216.0,0.9939,3.26,0.81,12.9,6
5.4,0.27,0.32,6.8,0.01,25.0,142.0,0.9938,3.21,0.53,10.6,6
9.0,0.36,0.18,8.1,0.049,13.0,149.0,0.9923,3.13,0.45,11.1,8
8.1,0.25,0.34,7.5,0.028,36.0,110.0,0.996,3.07,0.77,12.2,6
7.2,0.44,0.55,2.1,0.096,12.0,51.0,0.9991,2.93,0.57,9.8,6
9.1,0.19,0.45,7.6,0.032,30.0,112.0,0.9896,3.47,0.56,11.4,7
8.1,0.63,0.55,8.3,0.039,24.0,92.0,0.9938,3.18,0.31,12.8,6
6.2,0.39,0.24,4.1,0.024,21.0,58.0,0.9942,3.35,0.55,9.9,6
5.9,0.24,0.3,4.2,0.055,55.0,159.0,0.9924,3.4,0.66,8.9,6
8.3,0.24,0.17,7.7,0.051,60.0,101.0,0.9982,3.39,0.46,9.4,6
7.8,0.25,0.22,9.2,0.108,25.0,15.0,0.9982,3.33,0.5,10.0,6
7.5,0.55,0.18,2.2,0.055,48.0,116.0,0.9954,3.26,0.54,9.6,6
6.1,0.13,0.13,8.7,0.103,3.0,117.0,0.9927,2.95,0.54,11.0,6
8.0,0.23,0.53,9.1,0.11,10.0,158.0,0.9981,3.47,0.56,10.6,6
6.3,0.24,0.01,1.4,0.044,30.0,122.0,0.9938,3.04,0.79,12.7,6
7.1,0.33,0.53,6.8,0.05,12.0,81.0,0.9976,3.46,0.46,10.5,6
8.9,0.35,0.49,1.1,0.036,36.0,144.0,1.002,3.17,0.41,10.4,4
6.5,0.08,0.41,0.6,0.013,36.0,79.0,0.9947,3.38,0.42,11.0,7
5.2,0.27,0.15,4.6,0.139,30.0,156.0,0.9952,3.36,0.48,11.4,6
6.0,0.29,0.09,12.9,0.036,73.0,181.0,0.9926,3.28,0.38,9.9,7
8.2,0.32,0.21,0.6,0.024,36.0,6.0,0.9978,3.28,0.47,9.2,3
7.8,0.38,0.44,9.5,0.019,42.0,73.0,0.9953,3.19,0.67,12.7,8
7.1,0.48,0.32,3.8,0.034,39.0,142.0,0.9909,3.23,0.68,11.4,6
6.7,0.29,0.18,10.7,0.045,15.0,121.0,0.9926,3.23,0.38,12.1,7
7.8,0.4,0.48,10.0,0.099,65.0,189.0,1.0006,3.25,0.47,9.8,5
6.1,0.08,0.57,11.2,0.119,6.0,186.0,0.994,3.2,0.61,12.4,6
7.5,0.3,0.28,7.9,0.01,35.0,168.0,0.9914,3.01,0.43,9.6,5
6.2,0.53,0.33,10.0,0.112,43.0,20.0,0.9953,3.15,0.66,9.6,5
6.2,0.24,0.11,1.0,0.115,49.0,106.0,0.9931,3.29,0.52,10.8,7
6.4,0.22,0.26,2.0,0.034,25.0,152.0,0.9941,3.2,0.29,12.2,6
6.7,0.7,0.4,1.5,0.024,44.0,114.0,0.9963,3.22,0.59,9.8,6
7.3,0.6,0.39,7.3,0.074,13.0,109.0,0.9957,3.12,0.66,9.3,7
7.5,0.41,0.25,0.9,0.034,60.0,186.0,0.9948,3.31,0.4,12.1,6
4.0,0.52,0.28,1.1,0.108,28.0,136.0,0.9929,3.32,0.45,9.7,6
6.2,0.08,0.25,11.4,0.073,22.0,101.0,0.9894,2.85,0.44,11.9,6
6.9,0.15,0.3,6.6,0.03,20.0,49.0,1.0005,2.97,0.6,10.3,8
9.2,0.26,0.39,11.2,0.066,36.0,213.0,1.0003,3.19,0.41,10.3,6
5.8,0.3,0.03,0.8,0.058,3.0,133.0,0.9948,3.3,0.51,12.5,6
7.5,0.23,0.32,2.7,0.01,47.0,89.0,0.9972,3.27,0.38,12.5,7
9.3,0.08,0.38,1.8,0.021,21.0,168.0,0.9946,3.2,0.51,12.7,7
5.6,0.37,0.25,0.6,0.033,54.0,25.0,0.9924,3.35,0.53,10.4,7
7.8,0.42,0.25,1.8,0.069,9.0,215.0,0.9949,3.32,0.46,11.0,6
6.1,0.62,0.24,2.6,0.076,32.0,150.0,0.9951,3.19,0.26,10.9,5
6.7,0.18,0.26,0.6,0.098,41.0,240.0,0.9992,3.2,0.83,11.7,7
6.1,0.23,0.31,4.5,0.031,42.0,151.0,0.995,3.01,0.58,10.3,5
6.3,0.08,0.34,2.6,0.01,21.0,129.0,0.9998,3.24,0.44,12.4,6
10.7,0.32,0.0,0.6,0.026,8.0,82.0,0.9942,3.31,0.57,8.8,5
8.3,0.48,0.42,6.6,0.031,23.0,91.0,0.993,3.1,0.65,11.9,6
8.7,0.24,0.28,7.1,0.028,51.0,46.0,0.9992,3.23,0.6,10.9,6
7.9,0.68,0.61,9.7,0.055,68.0,227.0,0.9989,3.27,0.64,14.1,6
5.1,0.29,0.14,3.6,0.08,2.0,123.0,0.9949,3.36,0.69,10.5,6
7.9,0.33,0.2,18.7,0.042,18.0,165.0,0.9957,3.17,0.42,9.5,7
8.6,0.12,0.29,13.3,0.074,1.0,174.0,0.9956,3.08,0.48,10.4,6
6.1,0.38,0.38,4.3,0.09,21.0,103.0,0.9953,3.17,0.54,9.4,6
8.6,0.08,0.04,3.2,0.056,20.0,70.0,0.9936,3.27,0.6,12.4,7
8.3,0.42,0.21,0.6,0.016,10.0,75.0,1.0019,3.26,0.59,10.5,7
9.5,0.48,0.4,6.7,0.046,60.0,28.0,0.9935,2.97,0.22,10.1,5
6.7,0.55,0.18,4.5,0.092,51.0,52.0,0.9964,3.17,0.96,10.6,6
5.8,0.17,0.53,15.0,0.078,35.0,146.0,0.9953,3.06,0.78,9.6,6
6.8,0.36,0.25,4.9,0.019,29.0,174.0,0.9871,3.23,0.45,9.7,6
9.2,0.39,0.2,26.7,0.097,47.0,116.0,0.9951,3.28,0.64,9.2,7
4.9,0.41,0.41,10.4,0.044,13.0,168.0,0.9939,3.38,0.43,8.1,6
4.5,0.2,0.56,16.6,0.018,35.0,169.0,0.993,3.42,0.38,10.4,6
7.4,0.08,0.38,2.1,0.055,20.0,98.0,0.9916,3.3,0.4,9.9,6
6.7,0.39,0.51,0.9,0.01,72.0,177.0,1.0001,3.15,0.46,9.4,6
7.1,0.34,0.56,8.6,0.079,6.0,107.0,0.9914,3.14,0.59,10.8,5
8.4,0.27,0.17,8.3,0.096,25.0,91.0,0.9941,3.29,0.6,11.3,5
6.6,0.43,0.47,1.3,0.021,8.0,121.0,0.9931,3.34,0.51,11.3,7
4.7,0.36,0.08,7.8,0.05,43.0,36.0,0.9915,3.03,0.28,10.4,5
9.8,0.15,0.38,4.7,0.087,43.0,114.0,0.997,3.6,0.59,12.4,5
5.7,0.09,0.29,0.6,0.01,17.0,6.0,0.996,3.29,0.72,9.5,4
5.8,0.18,0.5,3.8,0.013,8.0,154.0,0.9932,3.35,0.49,11.5,5
8.6,0.75,0.49,14.4,0.048,23.0,43.0,0.9919,3.29,0.51,13.5,5
6.8,0.42,0.42,3.8,0.046,19.0,115.0,0.9963,3.05,0.86,12.1,7
7.3,0.33,0.38,8.4,0.058,32.0,200.0,0.996,3.15,0.67,9.8,7
7.8,0.34,0.39,0.6,0.052,59.0,120.0,0.9943,3.1,0.38,9.2,5
8.8,0.24,0.35,7.0,0.01,43.0,9.0,0.999,2.95,0.39,9.9,8
6.9,0.49,0.32,15.8,0.01,45.0,123.0,0.9994,3.02,0.36,11.5,7
9.2,0.26,0.54,3.7,0.01,31.0,101.0,0.9932,3.5,0.59,9.5,6
4.3,0.49,0.54,2.2,0.074,76.0,168.0,1.001,3.19,0.75,10.1,4
8.4,0.22,0.32,5.6,0.089,34.0,109.0,0.9939,3.36,0.64,9.0,8
6.0,0.68,0.35,13.4,0.053,43.0,179.0,0.9939,3.13,0.38,12.5,5
8.8,0.51,0.31,1.1,0.081,49.0,140.0,0.9968,3.11,0.64,9.7,4
7.5,0.5,0.09,2.8,0.035,30.0,165.0,0.9957,3.46,0.42,11.6,7
6.6,0.18,0.29,0.9,0.043,35.0,110.0,0.9948,3.19,0.93,10.6,8
8.2,0.47,0.57,3.7,0.088,21.0,188.0,0.989,3.18,0.46,9.9,7
8.4,0.28,0.21,4.2,0.072,31.0,87.0,0.9899,3.26,0.37,12.0,6
8.1,0.35,0.64,15.6,0.062,56.0,12.0,0.9908,3.32,0.58,10.6,6
6.0,0.57,0.51,2.9,0.051,52.0,54.0,0.9947,3.13,0.68,9.6,7
6.6,0.17,0.38,4.5,0.015,43.0,123.0,0.9931,2.87,0.59,11.1,6
7.2,0.37,0.41,11.7,0.059,47.0,131.0,0.9936,3.41,0.58,11.5,6
7.2,0.4,0.18,2.1,0.067,30.0,124.0,0.9938,3.29,0.63,10.4,6
8.2,0.42,0.28,6.1,0.133,47.0,185.0,0.9976,3.08,0.54,8.9,6
4.5,0.29,0.53,7.6,0.053,27.0,126.0,0.997,3.19,0.58,12.0,5
7.7,0.67,0.23,2.2,0.043,2.0,134.0,0.9935,3.43,0.65,11.7,6
6.7,0.19,0.46,1.0,0.066,62.0,171.0,0.9938,3.47,0.33,9.0,4
6.1,0.57,0.12,3.8,0.107,27.0,21.0,0.9921,3.17,0.49,10.1,6
6.2,0.56,0.13,2.4,0.068,49.0,157.0,0.9937,3.46,0.63,10.3,5
6.9,0.67,0.6,1.7,0.05,24.0,190.0,0.9986,3.22,0.29,11.8,5
4.0,0.08,0.32,19.6,0.029,1.0,156.0,0.9975,3.1,0.58,11.1,6
6.4,0.17,0.25,3.8,0.027,30.0,133.0,0.9958,3.14,0.47,12.3,7
6.2,0.54,0.54,10.5,0.083,1.0,161.0,0.9915,3.5,0.5,10.5,7
7.7,0.09,0.49,1.2,0.046,43.0,6.0,0.9945,3.31,0.52,11.2,4
6.1,0.11,0.45,15.1,0.126,26.0,108.0,0.9935,3.07,0.29,11.5,5
7.1,0.23,0.25,8.5,0.059,53.0,42.0,0.9942,3.38,0.46,11.6,7
9.1,0.4,0.27,8.9,0.073,34.0,137.0,0.9971,3.39,0.72,8.3,5
8.5,0.59,0.37,2.7,0.037,12.0,59.0,0.9979,3.15,0.24,11.3,6
8.4,0.3,0.43,3.6,0.027,42.0,164.0,1.002,3.29,0.77,10.8,6
6.5,0.27,0.24,4.9,0.083,2.0,92.0,0.992,3.45,0.44,13.7,5
7.9,0.38,0.35,8.4,0.098,25.0,43.0,0.9984,3.03,0.44,11.2,6
6.8,0.44,0.35,10.2,0.021,1.0,62.0,0.9943,2.93,0.54,9.4,5
6.9,0.44,0.5,0.6,0.03,36.0,42.0,0.9926,3.11,0.74,11.1,5
7.8,0.31,0.43,12.7,0.033,35.0,114.0,1.0012,2.94,0.33,9.9,6
6.3,0.08,0.08,15.0,0.08,32.0,151.0,1.0,3.02,0.43,10.0,4
9.2,0.19,0.29,4.9,0.069,14.0,79.0,0.9939,3.4,0.64,8.8,6
7.0,0.56,0.18,1.1,0.053,55.0,33.0,0.9925,3.08,0.65,11.5,6
8.0,0.36,0.41,9.2,0.029,47.0,115.0,0.9894,3.21,0.8,8.9,6
9.1,0.28,0.46,4.3,0.112,35.0,114.0,0.9985,3.34,0.37,10.9,6
8.7,0.48,0.35,9.2,0.09,21.0,88.0,0.9886,3.41,0.36,10.4,7
5.4,0.15,0.28,9.1,0.01,24.0,71.0,0.9943,3.28,0.66,10.4,6
7.7,0.33,0.32,0.6,0.086,30.0,188.0,0.992,2.88,0.42,10.8,5
8.3,0.36,0.35,5.0,0.046,11.0,82.0,0.9989,3.21,0.6,9.1,6
8.4,0.26,0.23,3.6,0.035,46.0,34.0,1.0002,3.34,0.64,11.9,6
5.8,0.35,0.14,15.8,0.083,53.0,111.0,0.9896,3.25,0.29,10.1,6
6.4,0.3,0.01,1.9,0.068,61.0,145.0,0.9949,3.31,0.81,12.1,6
8.4,0.14,0.5,1.2,0.059,24.0,142.0,0.9955,3.11,0.58,9.0,5
6.1,0.39,0.39,12.3,0.025,54.0,25.0,0.9938,3.24,0.43,10.4,5
6.7,0.15,0.37,0.9,0.092,56.0,185.0,0.9928,3.33,0.54,10.2,5
9.4,0.33,0.52,6.3,0.013,20.0,128.0,0.9994,3.45,0.57,12.3,7
7.1,0.58,0.12,1.9,0.083,12.0,148.0,0.9931,3.12,0.56,11.9,5
6.2,0.32,0.05,4.5,0.059,49.0,266.0,1.0006,3.11,0.65,11.6,5
6.0,0.18,0.37,5.2,0.055,20.0,159.0,0.9927,3.47,0.44,11.3,5
7.8,0.28,0.38,2.9,0.037,18.0,148.0,0.997,3.17,0.57,10.1,7
5.5,0.2,0.06,19.9,0.062,45.0,103.0,0.9972,3.26,0.49,10.6,6
7.0,0.4,0.39,0.8,0.01,7.0,115.0,0.9927,3.26,0.59,12.4,7
7.6,0.34,0.25,2.7,0.099,22.0,48.0,0.9894,3.22,0.55,9.6,5
8.9,0.61,0.2,3.0,0.042,1.0,120.0,0.9921,3.53,0.23,10.4,6
8.0,0.55,0.26,5.4,0.032,15.0,208.0,0.9912,3.18,0.42,8.0,5
6.5,0.25,0.0,2.8,0.049,20.0,140.0,0.9972,3.35,0.28,9.8,8
8.7,0.48,0.22,0.6,0.043,17.0,242.0,0.9936,3.15,0.79,9.9,5
6.8,0.27,0.22,15.9,0.1,23.0,146.0,0.9988,3.52,0.67,10.7,6
5.6,0.34,0.41,2.9,0.01,1.0,132.0,0.9964,3.09,0.34,11.1,6
7.0,0.28,0.3,2.3,0.053,13.0,108.0,0.9941,3.32,0.66,8.0,6
9.1,0.46,0.42,3.2,0.111,54.0,227.0,0.995,2.85,0.46,13.2,6
7.5,0.56,0.0,1.3,0.058,36.0,89.0,0.9907,3.17,0.56,10.2,6
7.3,0.46,0.2,0.6,0.063,22.0,75.0,0.9941,3.31,0.23,10.2,6
9.4,0.48,0.41,0.9,0.055,19.0,66.0,0.9951,2.99,0.59,9.3,6
5.5,0.45,0.29,1.0,0.033,45.0,243.0,0.9935,3.16,0.6,9.1,7
5.8,0.36,0.47,1.2,0.075,33.0,124.0,0.993,3.73,0.28,12.3,8
5.0,0.18,0.04,2.9,0.049,10.0,120.0,0.9977,3.05,0.71,10.8,5
7.6,0.64,0.42,5.3,0.061,21.0,145.0,0.9919,3.26,0.7,10.4,5
7.5,0.62,0.23,5.4,0.075,9.0,101.0,0.9965,2.99,0.56,10.7,6
9.4,0.24,0.23,0.6,0.071,19.0,73.0,0.998,3.05,0.49,11.5,8
7.5,0.31,0.46,13.7,0.059,42.0,70.0,0.9962,3.29,0.48,10.9,5
6.8,0.4,0.51,9.3,0.087,41.0,68.0,0.9911,3.18,0.79,10.1,7
7.3,0.39,0.49,17.9,0.091,49.0,6.0,0.995,3.09,0.82,11.6,7
7.3,0.33,0.62,2.4,0.083,33.0,119.0,0.9974,3.15,0.44,10.2,5
5.1,0.13,0.51,5.9,0.093,4.0,28.0,0.9938,3.4,0.27,9.0,6
10.9,0.35,0.21,1.0,0.103,9.0,147.0,0.9921,3.18,0.52,11.5,7
7.8,0.45,0.33,9.2,0.014,38.0,163.0,0.992,3.31,0.71,8.9,5
7.5,0.45,0.27,1.0,0.153,32.0,82.0,0.9957,2.94,0.43,9.2,6
7.9,0.42,0.62,2.1,0.061,10.0,135.0,0.9937,3.13,0.37,11.3,5
8.1,0.32,0.48,3.6,0.047,24.0,157.0,0.9928,3.15,0.81,9.3,5
7.0,0.52,0.28,4.9,0.062,64.0,201.0,0.9884,3.1,0.3,9.0,5
6.3,0.38,0.44,4.4,0.01,47.0,94.0,1.0001,3.2,0.73,9.6,5
8.0,0.26,0.14,0.6,0.064,57.0,36.0,0.9938,3.17,0.54,9.5,6
7.6,0.34,0.35,3.0,0.028,9.0,65.0,0.9971,3.34,0.51,13.1,5
6.2,0.08,0.18,13.8,0.059,60.0,22.0,0.9987,3.4,0.6,10.5,6
8.9,0.37,0.05,11.1,0.061,20.0,143.0,1.004,3.12,0.5,10.7,4
7.6,0.44,0.44,4.8,0.035,58.0,6.0,0.9967,3.41,0.52,11.9,6
8.3,0.36,0.47,4.6,0.01,37.0,59.0,0.9957,3.1,0.41,11.1,7
8.8,0.64,0.37,0.6,0.066,41.0,116.0,0.9901,3.24,0.46,11.4,4
7.3,0.29,0.29,1.2,0.056,43.0,55.0,0.9886,3.01,0.63,11.5,6
7.8,0.38,0.14,1.6,0.063,33.0,67.0,0.9875,3.17,0.36,11.5,7
8.2,0.49,0.14,3.6,0.041,40.0,163.0,0.9942,3.46,0.65,10.4,5
6.4,0.68,0.19,7.1,0.033,13.0,52.0,0.9917,3.24,0.51,12.1,7
7.3,0.36,0.29,3.3,0.048,28.0,90.0,0.9932,3.18,0.35,8.0,6
7.3,0.2,0.47,0.7,0.061,44.0,168.0,0.999,2.9,0.5,10.2,5
6.0,0.47,0.48,3.1,0.08,33.0,95.0,0.9963,3.21,0.59,10.3,6
10.3,0.63,0.07,1.0,0.028,24.0,252.0,0.9947,3.24,0.41,10.6,6
5.4,0.28,0.22,7.5,0.084,35.0,178.0,0.9953,3.14,0.74,11.9,6
5.6,0.47,0.21,1.0,0.079,6.0,181.0,0.9926,3.17,0.67,10.4,6
8.8,0.56,0.0,3.6,0.074,49.0,37.0,0.9933,3.2,0.62,9.2,5
8.2,0.5,0.41,6.4,0.12,1.0,110.0,0.9906,3.22,0.49,8.0,6
5.8,0.38,0.27,1.4,0.01,30.0,100.0,0.997,3.19,0.65,10.1,5
8.0,0.22,0.3,0.6,0.124,44.0,93.0,1.0,3.41,0.7,11.7,6
9.0,0.35,0.51,4.5,0.033,32.0,85.0,0.9988,3.05,0.43,10.1,5
7.1,0.44,0.33,0.6,0.064,22.0,108.0,0.9948,3.47,0.52,10.5,5
10.7,0.45,0.27,4.8,0.058,51.0,6.0,0.9976,3.18,0.52,10.7,7
5.1,0.36,0.42,7.6,0.01,19.0,63.0,0.9963,3.31,0.51,11.6,7
8.1,0.27,0.48,2.2,0.075,60.0,211.0,0.9952,3.39,0.74,10.9,6
8.7,0.45,0.36,3.6,0.086,26.0,85.0,0.9958,3.25,0.7,10.2,5
8.4,0.47,0.43,14.3,0.071,26.0,79.0,0.9907,3.21,0.69,8.8,6
7.1,0.37,0.31,3.4,0.01,44.0,112.0,0.9933,3.24,0.63,9.9,7
6.9,0.2,0.31,30.6,0.013,25.0,118.0,0.9927,2.91,0.54,10.7,6
8.0,0.25,0.36,0.9,0.032,33.0,6.0,0.9902,2.8,0.53,12.5,8
8.3,0.49,0.21,6.7,0.101,41.0,124.0,0.9964,3.34,0.6,10.5,6
8.0,0.11,0.24,5.7,0.059,9.0,147.0,0.9968,3.17,0.3,10.7,6
8.6,0.08,0.53,11.1,0.01,41.0,149.0,0.9871,3.08,0.67,10.0,6
5.9,0.58,0.62,0.6,0.128,1.0,63.0,0.9947,3.26,0.68,10.6,6
6.9,0.42,0.56,1.8,0.109,30.0,203.0,0.9937,3.19,0.39,10.9,6
6.0,0.43,0.12,0.8,0.018,24.0,196.0,0.9928,3.01,0.33,11.4,6
6.8,0.13,0.12,14.6,0.042,8.0,191.0,0.9898,3.37,0.62,8.8,7
